proportion_imaged,n_studies,yield_model,yield_unprioritised,ppv
0.6903,31668,0.88005,0.69027,0.60190
0.6922,31759,0.88116,0.69225,0.60093
0.6942,31850,0.88240,0.69423,0.60006
0.6962,31941,0.88365,0.69622,0.59920
0.6982,32032,0.88494,0.69820,0.59837
0.7002,32123,0.88638,0.70018,0.59764
0.7022,32214,0.88711,0.70217,0.59645
0.7042,32305,0.88804,0.70415,0.59539
0.7061,32396,0.88896,0.70613,0.59433
0.7081,32487,0.89011,0.70812,0.59344
0.7101,32578,0.89127,0.71010,0.59255
0.7121,32669,0.89247,0.71208,0.59169
0.7141,32760,0.89353,0.71407,0.59075
0.7161,32851,0.89482,0.71605,0.58997
0.7180,32942,0.89579,0.71803,0.58897
0.7200,33033,0.89686,0.72002,0.58805
0.7220,33124,0.89810,0.72200,0.58725
0.7240,33215,0.89940,0.72399,0.58648
0.7260,33306,0.90064,0.72597,0.58569
0.7280,33397,0.90161,0.72795,0.58472
0.7299,33488,0.90226,0.72994,0.58355
0.7319,33579,0.90341,0.73192,0.58272
0.7339,33670,0.90489,0.73390,0.58209
0.7359,33761,0.90627,0.73589,0.58141
0.7379,33852,0.90724,0.73787,0.58047
0.7399,33943,0.90826,0.73985,0.57956
0.7418,34034,0.90937,0.74184,0.57872
0.7438,34125,0.91071,0.74382,0.57802
0.7458,34216,0.91168,0.74580,0.57710
0.7478,34307,0.91242,0.74779,0.57603
0.7498,34398,0.91325,0.74977,0.57503
0.7518,34489,0.91426,0.75175,0.57415
0.7537,34580,0.91509,0.75374,0.57316
0.7557,34671,0.91620,0.75572,0.57235
0.7577,34762,0.91712,0.75771,0.57143
0.7597,34853,0.91846,0.75969,0.57077
0.7617,34944,0.91957,0.76167,0.56997
0.7637,35035,0.92063,0.76366,0.56915
0.7656,35126,0.92170,0.76564,0.56833
0.7676,35217,0.92271,0.76762,0.56748
0.7696,35308,0.92373,0.76961,0.56664
0.7716,35399,0.92447,0.77159,0.56564
0.7736,35490,0.92567,0.77357,0.56492
0.7756,35581,0.92654,0.77556,0.56401
0.7775,35672,0.92714,0.77754,0.56293
0.7795,35763,0.92811,0.77952,0.56209
0.7815,35854,0.92908,0.78151,0.56125
0.7835,35945,0.93014,0.78349,0.56047
0.7855,36036,0.93102,0.78547,0.55958
0.7875,36127,0.93204,0.78746,0.55878
0.7894,36218,0.93324,0.78944,0.55809
0.7914,36309,0.93402,0.79143,0.55716
0.7934,36400,0.93485,0.79341,0.55626
0.7954,36491,0.93610,0.79539,0.55562
0.7974,36582,0.93698,0.79738,0.55475
0.7994,36673,0.93767,0.79936,0.55379
0.8013,36764,0.93832,0.80134,0.55280
0.8033,36855,0.93919,0.80333,0.55195
0.8053,36946,0.94002,0.80531,0.55107
0.8073,37037,0.94072,0.80729,0.55013
0.8093,37128,0.94146,0.80928,0.54921
0.8113,37219,0.94215,0.81126,0.54827
0.8132,37310,0.94293,0.81324,0.54739
0.8152,37401,0.94400,0.81523,0.54667
0.8172,37492,0.94460,0.81721,0.54569
0.8192,37583,0.94547,0.81919,0.54487
0.8212,37674,0.94653,0.82118,0.54417
0.8232,37765,0.94732,0.82316,0.54331
0.8251,37856,0.94843,0.82514,0.54264
0.8271,37947,0.94931,0.82713,0.54183
0.8291,38038,0.94995,0.82911,0.54091
0.8311,38129,0.95041,0.83110,0.53988
0.8331,38220,0.95143,0.83308,0.53917
0.8351,38311,0.95217,0.83506,0.53830
0.8370,38402,0.95304,0.83705,0.53752
0.8390,38493,0.95388,0.83903,0.53672
0.8410,38584,0.95434,0.84101,0.53571
0.8430,38675,0.95526,0.84300,0.53497
0.8450,38766,0.95595,0.84498,0.53410
0.8470,38857,0.95665,0.84696,0.53324
0.8489,38948,0.95748,0.84895,0.53245
0.8509,39039,0.95868,0.85093,0.53188
0.8529,39130,0.95932,0.85291,0.53100
